review_id,product_id,rating,comment,created_at,sentiment_label,sentiment_score,detected_aspects,overall_rule_sentiment,renk_pigment_sentiment,koku_tat_sentiment,nemlendirme_sentiment,yapı_doku_sentiment,paketleme_sentiment,eksik_yanlış_ürün_sentiment,fiyat_performans_sentiment,kargo_teslimat_sentiment,aspect_sentiment,cleaned_comment,cluster,cluster_id,cluster_keywords,representative_comments,cluster_aspect,cluster_sentiment
468348028,870669244,5,Baya güzell rengi dokusu kokusu çok hoş,1738176924206,positive,0.6952155828475952,"['renk_pigment', 'koku_tat', 'yapı_doku']",positive,positive,positive,,positive,,,,,renk_pigment:positive; koku_tat:positive; yapı_doku:positive,Baya güzell rengi dokusu kokusu çok hoş,0,yapı_doku_positive_0,"güzelde kokuyor, görünümlü kokuları, kokuyor sevdim, harika kokuları, kokusuna verdiği",Çok güzel kokusu dokusu. Rengi pek belli etmiyor ama yumuşacık | Bayıldım çok güzel öyle kalıcı fln değil ama rengi kokusu dokusu çok güzel | Baya güzell rengi dokusu kokusu çok hoş,yapı_doku,positive
594123455,870669244,5,Zaten daha önce iki rengini denemiştim bu iki rengin de kararsız kalmıştım indirimdeyken almak istedim. İyi ki almışım mükemmel ötesi Yeni bağımlılığım olmuş durumda tüm renkleri indirimde stok yapıyorum,1765206935400,positive,0.9977612495422364,"['renk_pigment', 'nemlendirme', 'yapı_doku', 'fiyat_performans']",positive,positive,,positive,positive,,,positive,,renk_pigment:positive; nemlendirme:positive; yapı_doku:positive; fiyat_performans:positive,Zaten daha önce iki rengini denemiştim bu iki rengin de kararsız kalmıştım indirimdeyken almak istedim. İyi ki almışım mükemmel ötesi Yeni bağımlılığım olmuş durumda tüm renkleri indirimde stok yapıyorum,2,yapı_doku_positive_2,"ederim renklendirmiyor, renklendirmiyor, renklendirmiyor yapısı, renkleri vermiyo, renksiz haline","Rengi koyu değil tam istediğim gibi tatlı bir renk veriyor parlak ama yapış yapış değil. Ben sevdim 💋 | İlk defa satın aldım yapış yapış bir his bırakmıyor renklendirmesi de çok güzel | Kesinlikle beklentimin çok çok üstünde bi ürün. Pigmenti harika, dudağımın en renksiz haline bile rengini verdi bunu asla beklemiyordum. Absürt bir renk tonu değil kesinlikle. Verdiği parlaklık güzel hafif lip gloss gibi. Ayrıca rengi de arttırabilirsiniz. Yapış yapış his pek yok. Metal ucu rahat bir sürüm sağlıyor. Kaliteli hissettiriyor. Diğer renklerini de sipariş vereceğim. Bayıldım bayıldıııımm 💜",yapı_doku,positive
551961312,870669244,5,İçeriği güzel dudakta duruşu güzel kokusu güzel daha ne olsunn❤️ kesinlikle stok yapıcammmm,1750504425815,positive,0.9569886922836304,"['koku_tat', 'nemlendirme', 'yapı_doku']",positive,,positive,positive,positive,,,,,koku_tat:positive; nemlendirme:positive; yapı_doku:positive,İçeriği güzel dudakta duruşu güzel kokusu güzel daha ne olsunn❤️ kesinlikle stok yapıcammmm,0,yapı_doku_positive_0,"güzelde kokuyor, görünümlü kokuları, kokuyor sevdim, harika kokuları, kokusuna verdiği",Çok güzel kokusu dokusu. Rengi pek belli etmiyor ama yumuşacık | Bayıldım çok güzel öyle kalıcı fln değil ama rengi kokusu dokusu çok güzel | Baya güzell rengi dokusu kokusu çok hoş,yapı_doku,positive
572125989,870669244,5,Kokusu ve yapısı çok güzell,1758644188314,positive,0.9412841796875,"['koku_tat', 'yapı_doku']",positive,,positive,,positive,,,,,koku_tat:positive; yapı_doku:positive,Kokusu ve yapısı çok güzell,1,yapı_doku_positive_1,"tadı güzeldi, yapısı tadına, sevdim tadı, seviyorum yapışklanlık, özelliğide oldukça",Favori balm cidden çok hoş bi dokusu var tadı çok güzel kokusuda. İndirimde stoklu aldım sizde alın yazın için harika bi balm | Tadı çok güzel. Dudak kalemi ile çerçeve yapıp bırakın öyle bile çok iyi durur. Nemlendirme özelliğide oldukça iyi. Buram buram çilekselll kızlarrrrr 😘😘😘 | Çok güzel bi yapısı var yapış yapış değl,yapı_doku,positive
465629304,870669244,5,"Çok güzel, kokusu dokusu harika 🤩",1737370956398,positive,0.9922274351119996,"['koku_tat', 'yapı_doku']",positive,,positive,,positive,,,,,koku_tat:positive; yapı_doku:positive,"Çok güzel, kokusu dokusu harika 🤩",0,yapı_doku_positive_0,"güzelde kokuyor, görünümlü kokuları, kokuyor sevdim, harika kokuları, kokusuna verdiği",Çok güzel kokusu dokusu. Rengi pek belli etmiyor ama yumuşacık | Bayıldım çok güzel öyle kalıcı fln değil ama rengi kokusu dokusu çok güzel | Baya güzell rengi dokusu kokusu çok hoş,yapı_doku,positive
493258672,870669244,5,Favori balm cidden çok hoş bi dokusu var tadı çok güzel kokusuda. İndirimde stoklu aldım sizde alın yazın için harika bi balm,1746019444061,positive,0.967899739742279,"['koku_tat', 'yapı_doku']",positive,,positive,,positive,,,,,koku_tat:positive; yapı_doku:positive,Favori balm cidden çok hoş bi dokusu var tadı çok güzel kokusuda. İndirimde stoklu aldım sizde alın yazın için harika bi balm,1,yapı_doku_positive_1,"tadı güzeldi, yapısı tadına, sevdim tadı, seviyorum yapışklanlık, özelliğide oldukça",Favori balm cidden çok hoş bi dokusu var tadı çok güzel kokusuda. İndirimde stoklu aldım sizde alın yazın için harika bi balm | Tadı çok güzel. Dudak kalemi ile çerçeve yapıp bırakın öyle bile çok iyi durur. Nemlendirme özelliğide oldukça iyi. Buram buram çilekselll kızlarrrrr 😘😘😘 | Çok güzel bi yapısı var yapış yapış değl,yapı_doku,positive
483721944,870669244,4,Rengi dokusu çok güzel kaliteli bir ürün,1743104020700,positive,0.726972758769989,"['renk_pigment', 'yapı_doku']",positive,positive,,,positive,,,,,renk_pigment:positive; yapı_doku:positive,Rengi dokusu çok güzel kaliteli bir ürün,2,yapı_doku_positive_2,"ederim renklendirmiyor, renklendirmiyor, renklendirmiyor yapısı, renkleri vermiyo, renksiz haline","Rengi koyu değil tam istediğim gibi tatlı bir renk veriyor parlak ama yapış yapış değil. Ben sevdim 💋 | İlk defa satın aldım yapış yapış bir his bırakmıyor renklendirmesi de çok güzel | Kesinlikle beklentimin çok çok üstünde bi ürün. Pigmenti harika, dudağımın en renksiz haline bile rengini verdi bunu asla beklemiyordum. Absürt bir renk tonu değil kesinlikle. Verdiği parlaklık güzel hafif lip gloss gibi. Ayrıca rengi de arttırabilirsiniz. Yapış yapış his pek yok. Metal ucu rahat bir sürüm sağlıyor. Kaliteli hissettiriyor. Diğer renklerini de sipariş vereceğim. Bayıldım bayıldıııımm 💜",yapı_doku,positive
481969173,870669244,5,"Muhteşem ❤️ Soğuk tonlu kahve kontür bir kalemle hatları belirginleştirdim ve az sürdüm, duruşu bu şekilde. Kat kat renk yoğunlaştırılabilir hiç yapış yapış değil çok konforlu her renginden almayı düşünüyorum 💃",1742566399632,positive,0.9970421195030212,"['renk_pigment', 'yapı_doku']",positive,positive,,,positive,,,,,renk_pigment:positive; yapı_doku:positive,"Muhteşem ❤️ Soğuk tonlu kahve kontür bir kalemle hatları belirginleştirdim ve az sürdüm, duruşu bu şekilde. Kat kat renk yoğunlaştırılabilir hiç yapış yapış değil çok konforlu her renginden almayı düşünüyorum 💃",2,yapı_doku_positive_2,"ederim renklendirmiyor, renklendirmiyor, renklendirmiyor yapısı, renkleri vermiyo, renksiz haline","Rengi koyu değil tam istediğim gibi tatlı bir renk veriyor parlak ama yapış yapış değil. Ben sevdim 💋 | İlk defa satın aldım yapış yapış bir his bırakmıyor renklendirmesi de çok güzel | Kesinlikle beklentimin çok çok üstünde bi ürün. Pigmenti harika, dudağımın en renksiz haline bile rengini verdi bunu asla beklemiyordum. Absürt bir renk tonu değil kesinlikle. Verdiği parlaklık güzel hafif lip gloss gibi. Ayrıca rengi de arttırabilirsiniz. Yapış yapış his pek yok. Metal ucu rahat bir sürüm sağlıyor. Kaliteli hissettiriyor. Diğer renklerini de sipariş vereceğim. Bayıldım bayıldıııımm 💜",yapı_doku,positive
549797438,870669244,5,Bayıldım gerçekten ürüne indirimde almıştım bir daha denk gelirsem stok yapıcam resmen 😘❤️ mük bir ürün 😘,1749672019315,positive,0.9949910044670104,"['yapı_doku', 'fiyat_performans']",positive,,,,positive,,,positive,,yapı_doku:positive; fiyat_performans:positive,Bayıldım gerçekten ürüne indirimde almıştım bir daha denk gelirsem stok yapıcam resmen 😘❤️ mük bir ürün 😘,1,yapı_doku_positive_1,"tadı güzeldi, yapısı tadına, sevdim tadı, seviyorum yapışklanlık, özelliğide oldukça",Favori balm cidden çok hoş bi dokusu var tadı çok güzel kokusuda. İndirimde stoklu aldım sizde alın yazın için harika bi balm | Tadı çok güzel. Dudak kalemi ile çerçeve yapıp bırakın öyle bile çok iyi durur. Nemlendirme özelliğide oldukça iyi. Buram buram çilekselll kızlarrrrr 😘😘😘 | Çok güzel bi yapısı var yapış yapış değl,yapı_doku,positive
474323641,870669244,5,Ürün çok güzel. Yapış yapış bir his bırakmıyor ve buram buram çilek kokuyor :),1740121494034,positive,0.999185025691986,"['koku_tat', 'yapı_doku']",positive,,positive,,positive,,,,,koku_tat:positive; yapı_doku:positive,Ürün çok güzel. Yapış yapış bir his bırakmıyor ve buram buram çilek kokuyor :),0,yapı_doku_positive_0,"güzelde kokuyor, görünümlü kokuları, kokuyor sevdim, harika kokuları, kokusuna verdiği",Çok güzel kokusu dokusu. Rengi pek belli etmiyor ama yumuşacık | Bayıldım çok güzel öyle kalıcı fln değil ama rengi kokusu dokusu çok güzel | Baya güzell rengi dokusu kokusu çok hoş,yapı_doku,positive
